date,CNVIX
2019-05-27,22.9475
2019-05-28,21.6927
2019-05-29,21.3159
2019-05-30,20.8816
2019-05-31,21.6643
2019-06-03,22.0289
2019-06-04,22.7299
2019-06-05,22.4043
2019-06-06,22.5137
2019-06-10,21.1553
2019-06-11,20.3862
2019-06-12,20.7998
2019-06-13,20.0481
2019-06-14,20.0668
2019-06-17,20.2990
2019-06-18,19.6068
2019-06-19,18.5677
2019-06-20,21.3757
2019-06-21,23.7734
2019-06-24,24.8720
2019-06-25,25.1621
2019-06-26,25.1732
2019-06-27,25.2924
2019-06-28,26.3062
2019-07-01,23.7003
2019-07-02,23.1817
2019-07-03,22.2629
2019-07-04,21.8653
2019-07-05,22.5107
2019-07-08,22.0786
2019-07-09,21.1730
2019-07-10,21.2021
2019-07-11,21.4626
2019-07-12,21.2627
2019-07-15,21.4084
2019-07-16,21.7525
2019-07-17,21.3638
2019-07-18,21.2482
2019-07-19,22.0074
2019-07-22,19.7642
2019-07-23,18.8385
2019-07-24,17.9628
2019-07-25,16.8792
2019-07-26,17.2070
2019-07-29,18.2587
2019-07-30,18.3318
2019-07-31,18.9537
2019-08-01,17.1338
2019-08-02,17.9488
2019-08-05,19.9897
2019-08-06,21.6316
2019-08-07,20.8965
2019-08-08,20.3835
2019-08-09,19.8151
2019-08-12,20.1575
2019-08-13,20.1037
2019-08-14,19.4058
2019-08-15,19.9746
2019-08-16,19.8876
2019-08-19,20.3102
2019-08-20,20.1627
2019-08-21,19.3260
2019-08-22,19.1242
2019-08-23,19.2117
2019-08-26,20.7184
2019-08-27,19.4851
2019-08-28,19.3785
2019-08-29,18.7211
2019-08-30,18.6781
2019-09-02,17.8168
2019-09-03,17.8018
2019-09-04,17.0786
2019-09-05,17.5803
2019-09-06,18.0633
2019-09-09,19.0825
2019-09-10,18.6544
2019-09-11,18.5657
2019-09-12,17.7942
2019-09-16,17.5411
2019-09-17,17.1156
2019-09-18,16.7202
2019-09-19,16.5677
2019-09-20,15.9047
2019-09-23,15.9660
2019-09-24,15.5083
2019-09-25,15.7983
2019-09-26,15.8909
2019-09-27,16.2805
2019-09-30,16.8251
2019-10-08,11.3169
2019-10-09,9.5055
2019-10-10,11.0980
2019-10-11,11.8324
2019-10-14,10.9392
2019-10-15,11.1799
2019-10-16,11.4935
2019-10-17,11.9773
2019-10-18,12.6289
2019-10-21,12.5124
2019-10-22,12.3782
2019-10-23,12.8898
2019-10-24,12.5597
2019-10-25,12.3042
2019-10-28,12.6177
2019-10-29,12.8895
2019-10-30,13.2016
2019-10-31,13.3763
2019-11-01,12.4364
2019-11-04,12.4208
2019-11-05,12.5276
2019-11-06,12.3970
2019-11-07,12.6043
2019-11-08,13.0346
2019-11-11,14.2092
2019-11-12,13.7106
2019-11-13,13.9582
2019-11-14,14.2281
2019-11-15,14.2188
2019-11-18,13.3117
2019-11-19,12.4369
2019-11-20,12.6247
2019-11-21,12.8455
2019-11-22,13.6738
2019-11-25,13.3649
2019-11-26,13.4372
2019-11-27,13.1484
2019-11-28,12.6155
2019-11-29,13.4586
2019-12-02,13.3175
2019-12-03,12.9287
2019-12-04,13.0429
2019-12-05,12.1832
2019-12-06,11.3813
